state,unique_name,facility_name
CALIFORNIA,Casa Esperanza STRTP - Pomona,Casa Esperanza STRTP - Pomona
CALIFORNIA,Casa Pacifica STRTP,Casa Pacifica STRTP
CALIFORNIA,Cascade School,Cascade School
CALIFORNIA,Center for Reuniting Families,Center for Reuniting Families
CALIFORNIA,Center for ReUniting Families at Camp Osceola,Center for ReUniting Families at Camp Osceola
CALIFORNIA,Core Conditions Inc. - Oak,Core Conditions Inc. - Oak
CALIFORNIA,Core Conditions Inc. - Brawley,Core Conditions Inc. - Brawley
CALIFORNIA,Core Conditions Inc. - Dakota,Core Conditions Inc. - Dakota
CALIFORNIA,CCJ - Heart to Heart,CCJ - Heart to Heart
CALIFORNIA,CEDU Middle School,CEDU Middle School
CALIFORNIA,Celeste House,Celeste House
CALIFORNIA,Central Valley Juvenile Detention & Assessment Center,Central Valley Juvenile Detention & Assessment Center
CALIFORNIA,Chamberlain's Youth Services,Chamberlain's Youth Services
CALIFORNIA,"Changing Faces, Inc","Changing Faces, Inc"
CALIFORNIA,Charis Youth Center,Charis Youth Center
CALIFORNIA,Childhelp - Joann,Childhelp - Joann
CALIFORNIA,Childhelp - Johnson,Childhelp - Johnson
CALIFORNIA,Childhelp - Merv Griffin Village,Childhelp - Merv Griffin Village
CALIFORNIA,Children's Home of Stockton - Alpine Cottage,Children's Home of Stockton - Alpine Cottage
CALIFORNIA,Children's Home of Stockton - Aspen Cottage,Children's Home of Stockton - Aspen Cottage
CALIFORNIA,Children's Home of Stockton - Cypress Cottage,Children's Home of Stockton - Cypress Cottage
CALIFORNIA,Children's Home of Stockton - Delta Cottage,Children's Home of Stockton - Delta Cottage
CALIFORNIA,Children's Home of Stockton - Oak Cottage,Children's Home of Stockton - Oak Cottage
CALIFORNIA,Children's Home of Stockton - Redwood Cottage,Children's Home of Stockton - Redwood Cottage
CALIFORNIA,Children's Home of Stockton - Triplex Cottages,Children's Home of Stockton - Triplex Cottages
CALIFORNIA,Children's Hope Group Home,Children's Hope Group Home
CALIFORNIA,Children's Legacy Center,Children's Legacy Center
CALIFORNIA,Children's Receiving Home of Sacramento RTP,Children's Receiving Home of Sacramento RTP
CALIFORNIA,Circle C Ranch,Circle C Ranch
CALIFORNIA,Coastal Valley Academy,Coastal Valley Academy
CALIFORNIA,Cole Ranch RTC,Cole Ranch RTC
CALIFORNIA,Contra Costa Juvenile Hall,Contra Costa Juvenile Hall
CALIFORNIA,Corinthians Helping Hand Group Home,Corinthians Helping Hand Group Home
CALIFORNIA,Courage to Change,Courage to Change
CALIFORNIA,Creekside STRP,Creekside STRP
CALIFORNIA,Crittenton Services for Children and Families STRTP,Crittenton Services for Children and Families STRTP
CALIFORNIA,Danville RTC,Danville RTC
CALIFORNIA,Daniel and Nancy Marble Casa De Ninos,Daniel and Nancy Marble Casa De Ninos
CALIFORNIA,Daughter Project Girls Home,Daughter Project Girls Home
CALIFORNIA,David and Margaret Youth and Family Services STRTP,David and Margaret Youth and Family Services STRTP
CALIFORNIA,Desert Sage Youth Wellness Center,Desert Sage Youth Wellness Center
CALIFORNIA,Dignity STRTP,Dignity STRTP
FLORIDA,Discovery Mood & Anxiety Program,Discovery Mood & Anxiety Program
CALIFORNIA,DN Associates - Blythe,DN Associates - Blythe
CALIFORNIA,DN Associates - Polk,DN Associates - Polk
CALIFORNIA,Door to Hope - Santa Lucia,Door to Hope - Santa Lucia
CALIFORNIA,Dorothy Kirby Center SYTF,Dorothy Kirby Center SYTF
